car_id,brand,model,year,age,fuel_type,transmission,engine_cc,mileage_kmpl,km_driven,owner_count,city,price_inr
1,Honda,Civic,2019,7,Petrol,Manual,1197,13,101530,1,Mumbai,752930
2,Toyota,Corolla,2020,6,CNG,Manual,1197,11,78563,1,Hyderabad,495311
3,Tata,Nexon,2020,6,Diesel,Automatic,1997,10,41421,1,Nagpur,1056897
4,Honda,Civic,2022,4,Diesel,Automatic,1199,8,110791,1,Chennai,1021804
5,Kia,Seltos,2020,6,CNG,Automatic,1199,22,80674,1,Mumbai,319969
6,Tata,Nexon,2020,6,Diesel,Automatic,998,12,64429,3,Delhi,426021
7,Maruti,Swift,2024,2,CNG,Manual,1997,13,84840,3,Nashik,1423310
8,Hyundai,Creta,2023,3,CNG,Manual,1199,17,94733,1,Pune,793017
9,Mahindra,XUV500,2021,5,Petrol,Automatic,998,13,32869,3,Chennai,859201
10,Volkswagen,Virtus,2022,4,Petrol,Automatic,1197,13,102912,2,Hyderabad,1148571
11,Maruti,Swift,2020,6,Petrol,Manual,1497,21,117866,1,Nashik,880029
12,Kia,Seltos,2024,2,Diesel,Automatic,1497,7,74352,1,Pune,1689834
13,Skoda,Slavia,2023,3,Petrol,Automatic,1199,25,61985,1,Chennai,420131
14,Tata,Nexon,2024,2,Petrol,Automatic,1498,10,115319,3,Nagpur,671861
15,Hyundai,Creta,2024,2,CNG,Automatic,998,21,69042,1,Mumbai,1139674
16,Tata,Nexon,2021,5,CNG,Manual,1197,6,16226,3,Chennai,424093
17,Skoda,Slavia,2022,4,Diesel,Manual,1997,9,39741,2,Hyderabad,697113
18,Maruti,Swift,2024,2,CNG,Automatic,1497,14,62422,2,Chennai,601238
19,Honda,Civic,2021,5,CNG,Manual,1498,5,82128,1,Pune,405513
20,Toyota,Corolla,2021,5,Diesel,Manual,998,7,72391,1,Bengaluru,1138438
21,Skoda,Slavia,2022,4,Diesel,Manual,1498,23,107841,2,Hyderabad,561919
22,Kia,Seltos,2022,4,Diesel,Manual,1497,18,93259,3,Mumbai,418131
23,Mahindra,XUV500,2018,8,Petrol,Automatic,1197,12,23373,2,Nashik,387377
